PID,Country,Progress,Finished,Entities_1,Entities_2,Entities_3,Entities_4,Entities_5,Entities_6,Entities_7,Entities_8,Entities_9,Entities_10,Entities_11,Entities_12,Entities_13,Entities_14,Entities_15,Entities_16,Entities_17,Entities_18,Entities_19,Entities_20,Entities_21,Entities_22,Entities_23,Entities_24,Entities_25,Entities_26,Entities_27,Entities_28,Entities_29,SV1,SV2,SV3,SV4,SV5,SV6,SVC7,SVC8,SVC9,SVC10,SVC11,Parent,Sc_self,Sc_self_CODED,Sc_self_SOURCE,Sc_School,Sc_School_CODED,Sc_School_SOURCE,Sc_class_act,Sc_class_sch,Sc_class_text,Sc_confl,Sc_confl_type,Sc_confl_score,Sc_talk,Sc_talk_freq,Retro_Sc_p_inf,Retro_Sc_p_CODED,Retro_Sc_p_SOURCE,Retro_sch_inf,Retro_sch_CODED,Retro_sch_SOURCE,Retro_sc_freq,Retro_sc_class,Retro_sc_class_text,Retro_sc_conf,Retro_sc_conf_type,Retro_sc_conf_score,Retro_sc_talk,Retro_sc_talk_freq,Future_sc_talk,Grades,RV1,RV2,RV3,RV4,RV5,RV6,RVC7,RVC8,RVC9,RVC10,RVC11,Rel_self,Rel_self_CODED,Rel_self_SOURCE,Rel_school,Rel_school_CODED,Rel_school_SOURCE,Rel_class_freq,Rel_class,Rel_class_type,Rel_confl,Rel_confl_type,Rel_confl_score,Rel_talk,Rel_talk_freq,Rel_freq_child,Retro_rel_parent_inf,Retro_rel_p_CODED,Retro_rel_p_SOURCE,Retro_rel_school_inf,Retro_rel_s_CODED,Retro_rel_s_SOURCE,Retro_rel_class_freq,Retro_rel_class,Retro_rel_class_type,Retro_rel_confl,Retro_rel_confl_type,Retro_rel_confl_score,Retro_rel_talk,Retro_rel_talk_freq,Retro_rel_child_freq,Future_rel_child_freq,Rel_symb,Pray_diff,Pray_wish,Worship_freq,Worship_frequent,God_control,Divine,Faith,God_punish,Afterlife,Rel_freq,Rel_frequent,Religiosity,Religion,Religion_score,Belief_other,Folk,Religion_father,Religion_mother,Religion_granny,Rel_myparentonmychild,Rel_grannyonme,Parenting_parentonme,Parenting_grannyonparent,Parenting_meonmychild,Religion_partner,Religion_influenced_child,Religion_influenced,Rel_spi_activities,Rel_spi_act_solo_other,Rel_spi_act_group_other,Rel_spi_act_child,Rel_spi_act_parents,Rel_holiday,Rel_events,Worship_place,Worship_place_other,Gender,Ethnicity,SISI_ethnicity,SISI_Religion,SISI_National,SISI_student,Edu_level,Edu_level_other,Parent_edu,Parent_edu_other,Employment,Occupation,SES_1,Birthdate,Adjusted_ages,Age,Child_age,Aus_Pr_citizen,Nationality,Aus_born,Country_birth,Origin
79,1,100,TRUE,7,7,7,7,7,1,7,7,7,7,3,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,4,4,2,5,4,5,1,5,5,3,4,4,4,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,denial,uninformative,"yes, i was able to build a logical understanding of life and the universe through scientific views",affirmation,multiple source,3,Yes,"biology, chemistry","they wou,ld be open and understanding",supportive,1,Yes,"occasionally, if it was brought up by someone in the family",Yes,4,3,3,4,4,4,1,2,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes, i was born in a christian family, and this has influenced my attitudes and beliefs regarding religion",affirmation,parent-only source,i attended a christian school where the christian faith was the main faith,affirmation,multiple source,6,No,none,they would be open and understanding,supportive,1,Yes,on holy holidays sometimes,7,6,No,Agree,Disagree,Once a year,0,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Less than once a year,0,0,Agnosticism,0,NA,NA,Catholic,Catholic,Catholic,NA,Not at all,NA,Not at all,Somewhat,NA,NA,Catholic,Other solo activity,i do not,NA,NA,No,"Yes, but as cultural holidays",None,None,NA,Male,Caucasian/White,NA,Disagree,Neither agree nor disagree,Agree,Undergraduate degree,NA,Certificate/Diploma,NA,No,Student,8,09/23/1999,20,497628.37.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
195,1,100,TRUE,6,7,7,7,6,2,7,7,7,6,6,4,7,6,6,3,3,2,2,5,4,3,2,2,3,4,5,7,4,4,2,4,5,5,4,4,3,4,4,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"They did not talk much about science with me, however they did support some of my claims about science (e.g. when I claimed that humans evolved from monkeys, to which they supported it by citing Charles Darwin). Such instances did influence my scientific views",denial,uninformative,"Yes they did. Through teacher inquiry, I was able to change some scientific views which I thought was right, but turned out to be (partially) wrong. For example, when I thought that heavier things fall faster, but it was just heavier things (mostly) had more surface area.",affirmation,multiple source,7,Yes,"in school: biology, chemistry, geography",I don't think they would care.,supportive,0,No,they did not talk much about science with me.,Yes,3,3,3,2,3,3,2,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes they did. They moderately talked about religion (catholic) which at first influenced me to believe such things. However, over time I found their to be inconsistencies with what they were talking about, and I also questioned their views. This lead to they someone being unwilling to reply or disregarding the question. Thus, no I do not necessarily believe in any religion, but still have some belief in a higher beings or abstract constructs.",affirmation,parent-only source,They did not influence my religious views.,denial,uninformative,7,No,I did not attend any religion classes.,I think they would not care as much as they themselves do not have as strong a view of religion from before.,supportive,0,Yes,they would talk about religion when I did something bad or whenever I questioned such religion. They would just talk about god (catholic).,2,5,Yes,Neither agree nor disagree,Neither agree nor disagree,Once a year,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Only on special holy days,0,0,Catholic,1,NA,NA,Catholic,Catholic,Catholic,NA,Not at all,NA,Little,Little,NA,NA,None,Solo prayer,NA,NA,NA,No,Yes,Filipino sinulog,Churches,NA,Male,Asian,NA,Somewhat agree,Strongly agree,Strongly agree,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,Undergraduate degree,NA,No,student,3,12/22/2002,17,86666.42.00,NA,"Yes, I am an Australian citizen",NA,No (please fill in your country of birth),Philippines,Philippines
131,1,100,TRUE,7,7,7,7,7,5,7,7,7,5,7,7,7,7,7,5,5,5,6,6,6,6,6,5,6,5,5,6,5,5,3,3,4,4,4,4,3,4,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My parents have always been interested and believed in science, growing up I have been interested in it as well",affirmation,parent-only source,"I think school did influenced me as the more I learnt during classes, the more I believe in science",affirmation,multiple source,3,Yes,"In school: chemistry, biology, psychology classes; outside school: tuition",They would be open minded,supportive,1,Yes,"Once a week, my parents and I would take about researches on health, we would take about anatomy, pathology, etc",Yes,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My parents do not have a religious belief,ambiguous,uninformative,I went to a christian school and it did raise questions about the existence of god in me,affirmation,multiple source,7,Yes,Bible class,They would be open minded,supportive,1,No,NA,7,7,No,Neither agree nor disagree,Neither agree nor disagree,Less than once a year,0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Never, practically never",0,0,None,0,NA,NA,None,None,None,NA,Not at all,NA,Somewhat,Somewhat,NA,NA,None,Other group activity,NA,Fellowship in school,NA,No,No,None,None,NA,Female,Asian,NA,Neither agree nor disagree,Strongly agree,Somewhat agree,Some university education (yet to be completed),NA,Undergraduate degree,NA,No,NA,6,08/07/2002,17,712237.29.00,NA,No (please fill in your nationality),Hong Konger,No (please fill in your country of birth),Hong Kong,Hong Kong
110,1,100,TRUE,7,7,7,7,7,3,7,7,7,7,6,6,7,7,7,4,4,3,4,7,5,6,1,5,3,2,5,3,6,4,4,5,5,5,5,4,5,5,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My parents would take me regularly to the science museum as a child, as well as fostered my love for dinosaurs and exploration as a child. Not only did this cement my interest in science as a field, but also promoted my education on a broader scale, and the importance/reliability of science in our everyday lives.",affirmation,parent-only source,"In high school, I went to a science, math and technology school and so I had extensive exposure to science in many forms. This shaped my scientific views by providing me with real life applications of science. It should also be noted that both in this school as well as here at the university of queensland, scepticism towards science was also promoted and this too is a very important aspect of science that should always go alongside the teaching of scientific discoveries.",affirmation,multiple source,5,Yes,"At high school I did Physics and Chemistry, and at University I am currently studying biology and psychology. I developed an interest into biology through external resources during my high school years.",My parents learn a lot of what they know about science from me. Neither of them really have any scientific background except general interest.,supportive,0,Yes,"Most of the time it is when I bring it up, however it often concerns mental illnesses that sometimes affect people we know (ie. relatives and friends), but I also like to talk to them about the science of drugs (both pharmaceutical and recreational, including alcohol) in order to see how societal norms surrounding these substances have affected their perspectives of what is actually a fairly objective topic.",Yes,3,4,4,4,4,4,2,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both of my parents were brought up as religious and to an extent may still be, however the extreme nature of the religious settings they were brought up in have brought about a certain distaste for religion as they have grown older.",ambiguous,parent-only source,My school had a similar effect on my religious views as my grandparents did on my parents. The incessant need to promote religion without explanation or reason annoyed me and so I was far more inclined to reject it.,ambiguous,multiple source,6,Yes,"From grades 7-9, I was at a Catholic school and so religion was a compulsory subject. Additionally there were masses held at school. The only religious events I attended outside of school were with my family (particularly grandparents) on special holy days as even though I don't see myself as particularly religious I fully respect anyone who does. Everyone is entitled to their own beliefs.","My parents would not care too much for the reasons outlined above. My religious beliefs align best with being agnostic, however I prefer to acknowledge a general spirituality rather than align myself with any particular religion.",supportive,1,Yes,"A lot of the time I find myself talking to my dad about how much we feel Christianity has seeped into many parts of society that it never should have, eg. politics and lawmaking. We share a general distaste for it in this respect as we both see the damage and discrimination that has been brought about as a result of this, however have no problems with religion as a general concept for people to align themselves with.",4,7,No,Disagree,Disagree,Less than once a year,0,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Only on special holy days,0,1,Agnosticism,0,NA,NA,Catholic,Catholic,Catholic,NA,Little,NA,Little,Little,NA,NA,None,Other solo activity,I do not. The closest thing to this would be my meditation practices,NA,NA,No,Yes,None,Churches,NA,Male,Caucasian/White,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Some university education (yet to be completed),NA,Undergraduate degree,NA,No,NA,8,05/20/2003,17,1072967.05.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Birth: Australia. Heritage: Italian (hence Christian family)
148,1,100,TRUE,7,7,7,7,7,1,7,7,7,7,2,3,7,7,7,2,2,3,2,3,3,3,1,4,5,2,3,1,1,4,3,4,4,5,4,4,4,5,4,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes they taught me many scientific concepts,affirmation,multiple source,"yes, here i learned basic sciences - was introduced to biology, physics, chem",affirmation,multiple source,4,Yes,"private tuition for physics, chemistry",they would be open minded to my views,supportive,1,Yes,about major events and what i learned about in school,Yes,2,3,2,3,3,4,3,3,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little bit - they introduced me to buddhism,affirmation,parent-only source,introduced to christianity in religion classes,affirmation,uninformative,7,Yes,In school - christian education,They would be confused,directive,1,Yes,Only sometimes - e.g. when we went to events at temple,3,4,Yes,Agree,Strongly agree,More than once a week,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Once a month,1,0,Buddhism,1,NA,NA,Buddhism,Buddhism,Buddhism,NA,Little,NA,Quite a lot,Somewhat,NA,NA,Buddhism,"Solo prayer,Group prayer",NA,NA,NA,Yes,"Yes, but as cultural holidays",None,Temples,NA,Female,Asian,NA,Agree,Strongly disagree,Agree,Some university education (yet to be completed),NA,"Post-graduate degree (Masters, PhD)",NA,No,student,8,09/08/2002,17,566118.46.00,NA,"Yes, I am an Australian citizen",NA,No (please fill in your country of birth),sri lanka,sri lanka
130,1,100,TRUE,6,7,6,7,6,2,7,6,6,5,3,2,7,5,6,5,5,3,2,7,7,6,1,6,4,7,7,5,3,4,2,4,5,4,4,4,2,4,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I think so because my father has a heavily scientific look on life which I gained too from a young age.,affirmation,parent-only source,The schools I have attended have placed a strong emphasis on science so I have learnt to accept theories I learned in school as explanations for the world around us.,affirmation,multiple source,3,Yes,I have studied science throughout school - particularly biology and chemistry during high school. I also had a tutor for help with these subjects,"I think my parents would be understanding to my views, even if they were different to their own",supportive,1,Yes,It is not a regular occurrence but my parents and I discuss scientific topics when we see them in the news or current affairs involving science are happening.,Yes,2,5,4,4,3,5,3,5,5,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My mother has always been religious and I learnt to have a religious outlook on life from her. From a young age, I prayed with her and these practices have become a part of life due to her.",affirmation,parent-only source,"I went to a few catholic schools where we learnt religion as a subject. Although I am Hindu, I learnt to appreciate Christianity during these lessons. This had an influence in me as I gained knowledge about religions different to my own, and was able to incorporate it into my views.",affirmation,multiple source,6,Yes,"In school I attended Christianity studies. Outside of school, I had taken part in few Hinduism classes.",My parents would be surprised if I developed different religious views from them.,directive,1,Yes,"My parents and I regularly discuss stories about gods in our religion during everyday life. When we lived in India, we used to regularly visit the temple with my family and religion was a key part of our life.",2,4,Yes,Strongly agree,Agree,More than once a week,1,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Only on special holy days,0,1,Hinduism,1,NA,NA,Hinduism,Hinduism,Hinduism,NA,Quite a lot,NA,Somewhat,Somewhat,NA,NA,Hindu,Solo prayer,NA,NA,NA,Yes,Yes,"Our family has celebrated Diwali, Ganesh Jayanti and other Hindu holidays for as long as I can remember. These days were both of a religious and cultural focus. They were rather times of meeting and celebration with family as well as receiving blessings from elders and gods for the year ahead.",Temples,NA,Male,Asian,NA,Strongly agree,Strongly agree,Strongly agree,Some university education (yet to be completed),NA,Undergraduate degree,NA,"Yes, casual",Tutor,8,02/14/2003,17,1506757.02.00,NA,"Yes, I am an Australian citizen",NA,No (please fill in your country of birth),India,India
99,1,100,TRUE,7,7,7,7,7,1,7,7,7,5,5,6,7,7,7,5,5,5,4,7,6,7,1,3,5,4,3,4,4,5,4,5,5,5,4,5,5,5,5,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes/ My parents trust science and I have grown up knowing science is almost always right. I also trust my parents.,affirmation,parent-only source,"Yes. My school offered the general 3 subjects (biology, chemistry and physics), and great science facilities and activities, which allowed for a greater understanding and trust in science",affirmation,multiple source,3,Yes,In school: Biology; Outside school: weekly teacher led tutorial sessions.,"They would respect my opinions or views that may differ to theirs, but would possibly try to change my mind if I greatly differed from their views, which could greatly impact my health or general knowledge.",supportive,1,Yes,"Weekly. Usually at the dinner table. We would start conversations over recent health discoveries or tragedies and they would also encourage me to see how great the science of everyday life is, while encouraging me to do my best in my studies in my science subject.",Yes,2,3,2,4,3,4,2,2,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not very much. My dad was more religious than my mum and would make us go to church which made me and my siblings hate being forced to go. We also have quite different outlooks on life and how it is related to religion and spirituality.,denial,multiple source,Sometimes. Going to a catholic School meant I was forced to sit through assemblies and events based around religion. I was also made to study a religion subject and was mostly pushed to believe in catholicism over any other religion.,affirmation,multiple source,7,Yes,In school: Study of religion classes; Outside school: none,They would respect my opinion as that is how I would choose to live and believe things. But might try to also express their opinions about religion so I understand their beliefs as well.,supportive,2,Yes,Not very often. Mostly talking about try to find why we were put on earth and if this relates to God and religion.,6,5,No,Agree,Agree,"Never, practically never",0,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Less than once a year,0,0,Catholic,1,NA,NA,Catholic,Protestant,Catholic,NA,Not at all,NA,Quite a lot,Little,NA,NA,Catholic,"Other solo activity,Other group activity",None,None,NA,No,Yes,None,Churches,NA,Female,Caucasian/White,NA,Strongly disagree,Strongly disagree,Strongly agree,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,Undergraduate degree,NA,"Yes, casual",Burger shop,8,06/12/2002,17,967945.15.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
109,1,100,TRUE,7,7,7,7,7,2,7,7,7,7,7,5,7,7,7,1,1,1,3,5,5,5,1,4,2,1,2,1,4,5,4,5,5,5,5,5,5,5,5,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"They encouraged science and open mindedness. Traits which I now value, so I suppose they did.",affirmation,parent-only source,"Yes, science was always taught and considered very important.",affirmation,multiple source,5,Yes,"Biology, Chemistry",They would be open to a discussion about it.,supportive,1,Yes,A few times a week. Mostly about new or emerging scientific discoveries or theories. Medical science as well. And climate science.,Yes,3,2,3,3,2,3,1,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"They encouraged me and my brother to discover for ourselves what we wished to believe in, whether that be science or religion or both. They didnt care.",ambiguous,multiple source,My school was a public school so religion class was not mandatory,denial,uninformative,7,No,None,They wouldnt care.,supportive,0,No,NA,7,7,No,Strongly disagree,Strongly disagree,"Never, practically never",0,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,"Never, practically never",0,0,Atheism,0,NA,NA,Atheism,None,Protestant,NA,Not at all,NA,Little,Quite a lot,None,NA,None,Other solo activity,No,NA,NA,No,"Yes, but as cultural holidays",None,None,NA,Female,Caucasian/White,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Some university education (yet to be completed),NA,"Post-graduate degree (Masters, PhD)",NA,"Yes, casual",Stablehand,5,08/27/1993,26,620922.17.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
179,1,100,TRUE,7,7,7,7,7,1,7,7,7,7,6,6,7,6,7,4,4,4,5,6,5,5,1,4,5,5,7,5,5,5,2,5,5,5,5,4,2,5,5,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Up until I was old enough to adopt my own views all I knew was what they had told me.",affirmation,parent-only source,"Yes, It's one of the few places that scientific views were often discussed and when you're young you often believe everything you're told.",affirmation,multiple source,7,Yes,"Science, Biology, Chemistry, Physics, Environmental science",They're very open minded so it would be interesting to discuss but it wouldn't be an issue,supportive,2,Yes,"Quite often, mostly when someone has found interesting news or learnt something new",Yes,3,3,2,5,3,4,2,4,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"When I was younger they definitely did, I couldn't make my own decisions so I was always doing as they did",affirmation,parent-only source,"Partially, going to a religious school affected my views and I followed the religion until I was old enough to make my own decisions",affirmation,multiple source,5,Yes,Religious studies and bible classes,They'd be open to it,supportive,1,Yes,Not very often but the conversation would be around comparing religions and beliefs,5,4,No,Strongly disagree,Strongly disagree,"Never, practically never",0,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,"Never, practically never",0,0,None,0,NA,NA,None,None,Catholic,NA,Not at all,NA,Somewhat,Quite a lot,NA,NA,Catholic,Other solo activity,None,NA,NA,No,Yes,None,None,NA,Female,Caucasian/White,NA,Strongly agree,Strongly agree,Strongly agree,Some university education (yet to be completed),NA,"Post-graduate degree (Masters, PhD)",NA,"Yes, casual",Lifeguard,6,02/13/2003,17,1511323.14.00,NA,"Yes, I am an Australian citizen",NA,No (please fill in your country of birth),South Africa,South Africa
71,1,100,TRUE,6,7,7,7,7,1,7,7,7,5,6,2,7,7,7,1,1,1,1,5,1,1,1,1,1,4,1,4,4,5,3,5,4,5,5,5,3,5,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, science is taken really seriously on my dads side so i learnt from a young age its importance and significance.",affirmation,parent-only source,Yes with some education of teachers i was taught how to think critically and how to approach a problem from an analytical perspective.,affirmation,multiple source,6,Yes,Psychology classes and maybe attend a school tutorial once or twice,It doesnt bother my parents that i have different opinions to them but sometimes we clash when discussing such views,supportive,1,Yes,at least once a day. My dad would tell me about new research that was published in his scientific magazines.,Yes,3,1,1,1,1,1,1,1,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My dad raised me atheist so i learnt to approach such ideals from a scientific perspective but I am agnostic now but i don't think that conflicts with the way he raised me.,affirmation,multiple source,I briefly went to an anglican school and that made religion more distasteful to us.,ambiguous,uninformative,7,Yes,Christian education and chapel,they would be a little confused but i dont think it would bother them,supportive,1,Yes,maybe only a handful of times when i was really little and it would just be a brief outline.,7,7,Yes,Strongly disagree,Strongly disagree,"Never, practically never",0,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Never, practically never",0,0,Agnosticism,0,NA,NA,Atheism,None,Catholic,NA,Not at all,NA,Somewhat,Somewhat,NA,NA,Catholic,"Other solo activity,Other group activity",no,no,NA,No,"Yes, but as cultural holidays",christmas but because its capitalism not because its religious,None,NA,Non-binary,Caucasian/White,NA,Strongly disagree,Strongly disagree,Strongly agree,Some university education (yet to be completed),NA,Undergraduate degree,NA,No,Student,4,07/12/2002,17,830958.57.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
149,1,100,TRUE,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,4,3,7,7,7,7,7,7,7,4,5,5,7,7,5,2,4,4,5,5,5,2,4,4,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,affirmation,uninformative,yes,affirmation,uninformative,1,Yes,"bio, chem, psych",fine,supportive,1,Yes,not that often,Yes,3,4,4,4,4,2,2,2,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sort of.,ambiguous,uninformative,sort of,ambiguous,uninformative,3,Yes,Regular class,they wouldn't care,supportive,0,No,god,2,2,No,Agree,Agree,Once a year,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Once a year,0,1,Catholic,1,NA,NA,None,None,None,NA,Little,NA,Little,Little,NA,NA,Catholic,Solo prayer,NA,NA,NA,No,"Yes, but as cultural holidays",None,None,NA,Female,Asian,NA,Disagree,Agree,Agree,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,Certificate/Diploma,NA,No,Idont have one,3,06/19/2002,17,935981.47.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
85,1,100,TRUE,7,7,7,7,7,2,7,7,7,7,3,7,7,7,7,1,1,1,1,2,2,2,1,3,2,2,2,1,4,5,3,4,4,4,4,4,5,4,3,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat. I did well in school and showed an interest in both science and writing/the arts. My parents encouraged me to study science (physics) at university over a BA. My dad has two PhDs and so he really wanted me to do an honours year. However neither of my parents studied science at university and I pretty quickly by the end of high school got to a point where I knew more about maths and science than either of them, so I shaped my own views.",ambiguous,multiple source,"Yes - I had really great science teachers in high school. Probably the most formative experience in those classes was when we had to write an essay about why vaccination is important, essentially countering anti-vaxx arguments with an understanding of how vaccines actually work. I was never an anti-vaxxer but that gave me a lot of stability in my beliefs that we can actually trust scientific conclusions that are backed up by good quality research, and that ""do your own research"" is actually good advice - if you're reading peer reviewed papers, and not blogs. I also studied science at uni and in my first year we did a course on the scientific method, which cemented I think my way of looking at problems in this kind of deductive, experimental way. We covered big topics like climate change there, and then of course studying physics of course I ""believe"" in things like the atomic model, because I spent many years learning how complicated atoms really are (i.e. like learning that the Bohr model is an oversimplification, electrons don't spin around the nucleus, they exist in a probability distribution and pick a location when you observe them). My degree put me in the mindset that nothing we find through science is a law or final truth, it's just the best explanation we have until contradictory evidence crops up. It's just some conclusions are really obvious (e.g. gravity) and others are more tentative, usually because we can't actually see the thing (e.g. dark matter)",affirmation,multiple source,7,Yes,"In school: Chemistry, Physics, Biology, then Bachelor of Science in Physics, Outside school: None","My parents don't have much scientific knowledge or very strong opinions, but I think we agree on the big public ones (e.g. climate change is real, vaccines are useful, etc)",supportive,1,No,They don't.,Yes,4,4,3,3,3,3,3,2,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat. My mother is Catholic and my dad went to a Catholic high school. I also went to a Catholic high school. We never went to church, but I was baptised, and had a children's bible as a kid. For a long time I identified as an atheist and I didn't receive any push-back from my family. We didn't talk about religion. However I think the constant proximity to religion gave me an appreciation for spirituality and ultimately a familiarity with/affection for Christianity. Nowadays I go to church semi-frequently. I don't necessarily believe in Christian God over other gods, it's just the form of connecting with spirituality I'm familiar with.",affirmation,multiple source,"Going to a Catholic high school alienated me from religion for a long time. Particularly as a queer person, I was very conscious of the fact that you weren't allowed to bring your same sex partner to formal, and that the teachers wouldn't stop making jokes about trans people when Caitlyn Jenner came out. I guess that's not explicitly religion related, but it was clear the ""Catholic values"" of the school were at odds with who I was, which bred a lot of resentment. Now a few years out of that experience I go to a church which has an almost entirely queer congregation and I'm much more open to spirituality.",affirmation,multiple source,7,Yes,"Bible classes one hour a week in primary school, then compulsory Catholic ""Religion and ethics"" 2x a week in high school",We didn't talk about religion.,supportive,0,No,No,7,4,No,Agree,Agree,Once a month,0,Strongly disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Once a month,1,1,Christian (non-denominational),1,NA,NA,Catholic,Catholic,Catholic,NA,Not at all,NA,Quite a lot,Not at all,None,NA,Catholic,"Solo prayer,Other group activity",NA,Going to mass,NA,No,Yes,None,Churches,NA,Male,Caucasian/White,NA,Agree,Agree,Agree,Undergraduate degree,NA,"Post-graduate degree (Masters, PhD)",NA,"Yes, full-time",Web developer,5,08/06/1999,20,716806.42.00,NA,"Yes, I am an Australian citizen",NA,No (please fill in your country of birth),England,England
34,1,100,TRUE,7,7,7,7,7,2,7,7,7,6,7,4,7,7,7,2,2,2,2,2,2,4,1,2,2,2,2,1,3,4,3,1,1,5,5,5,1,1,3,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not dad and I often discuss scientific views but I researched myself primarily,denial,multiple source,I went to a catholic school but they supported scientific education and did not force views on any students so the views of students varied.,affirmation,multiple source,5,Yes,"In school, physics and chemistry",My parents are supportive of their children having their own views,supportive,1,Yes,My dad and I discussed scientific books we were reading or what I had learnt in class etc,Yes,3,1,5,3,2,1,1,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My parents are not religious but my grandparents lead a large religious community, I am not religious at all so I do not think so",denial,multiple source,"They educated us on all religions but understood we would not all be open to similar views so it did not influence our views, however in primary school I think it did as at the time we didn't have much access to science classes.",denial,multiple source,7,Yes,general  study of all religions with a primary focus on Catholicism,They would not mind,supportive,1,No,NA,7,7,No,Neither agree nor disagree,Strongly disagree,Less than once a year,0,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,"Never, practically never",0,0,I am technically Catholic but I don't consider myself one.,0,NA,NA,Catholic,Catholic,Catholic,NA,Not at all,NA,Somewhat,Little,None,NA,Buddhism,Other group activity,NA,none,NA,No,"Yes, but as cultural holidays",None,None,NA,Female,Caucasian/White,NA,Strongly disagree,Strongly disagree,Strongly agree,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,Certificate/Diploma,NA,"Yes, full-time",Care taker and retail worker,3,02/04/2001,19,1552421.08.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
